data,fonte,nome,grupo,valor,fluxo,metrica_origem,unidade,tipo,descricao,variavel_calculada,formula,frequencia_original,frequencia_final
2005-04-30,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,14670988736,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
2005-05-31,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,16312585264,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
2005-06-30,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,16477399581,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
2005-07-31,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,17232031273,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
2005-08-31,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,19129674440,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
2005-09-30,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,17059789854,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
2005-10-31,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,16256516931,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
2005-11-30,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,17647814520,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
2005-12-31,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,17566483821,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
2006-01-31,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,15834441016,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
2006-02-28,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,14829596933,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
2006-03-31,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,19194357850,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
2006-04-30,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,16668027232,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
2006-05-31,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,17660998253,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
2006-06-30,Comex Stat/MDIC,comex_corrente_comercio_usd,comercio_exterior,18906100693,calculado,,US$,valor_monetario,Corrente mensal de comércio exterior brasileira.,True,comex_exportacoes_fob_usd + comex_importacoes_fob_usd,mensal,mensal
